,gameId,result
2144,200811230oti,0.008
2090,201712240crd,0.012
2240,201009120oti,0.026
695,200710280ram,0.021
1360,200911290htx,0.003
2743,201409140sdg,0.021
2070,201712030rai,0.019
108,201311030car,0.0
1458,200909270htx,0.025
2963,201801130nwe,0.019
2817,201411230sdg,0.008
1355,201110030tam,0.015
2413,201311240cle,0.011
2861,201312220ram,0.024
2637,201209300nyj,0.039
2001,201809160dal,0.03
977,201809300dal,0.006
466,200811090rai,0.003
204,200911160cle,0.047
1350,201310140sdg,0.003
2064,201212230rav,0.04
687,200912200kan,0.019
2396,201511290sea,0.009
2319,200711110was,0.004
13,200809070sfo,0.004
1683,201611130sdg,0.019
2578,201412140sea,0.004
2408,201410050jax,0.007
2814,201009190rai,0.005
2994,201511080nor,0.007
202,201810280car,0.015
1296,201401110nwe,0.013
1018,201609110clt,0.001
2451,200911290rav,0.002
2613,200909270min,0.011
1663,201412010nyj,0.037
1684,201110020sdg,0.018
1626,200909130atl,0.052
418,201312290atl,0.012
33,200710210was,0.005
2350,200811230rav,0.004
992,200809070atl,0.014
1706,201110020kan,0.026
469,200809070sdg,0.002
2650,200910250htx,0.01
1308,200912170jax,0.002
312,201611070sea,0.013
1288,201309290jax,0.025
395,201210140crd,0.015
2585,201609250sea,0.044
2399,201211250cle,0.011
1679,201210070cin,0.011
3100,201510180nyj,0.007
597,200910040cle,0.011
2218,201709240was,0.034
988,201211040jax,0.005
3032,201810210sdg,0.012
3038,201711300dal,0.004
116,201010100cle,0.027
2922,200709090sea,0.01
1258,201512060buf,0.008
2427,200710210den,0.026
633,200811200pit,0.002
569,201712100cin,0.011
1494,200812070den,0.004
492,200710140crd,0.007
1392,200912270nwe,0.005
23,200811020ram,0.018
2694,200911290ram,0.007
2310,201001030dal,0.015
1358,201009120htx,0.002
937,201411090rai,0.069
2967,201610090mia,0.003
1015,200909130nor,0.011
2416,200910110det,0.048
1471,200810050car,0.004
1746,201111140gnb,0.013
2660,201011290crd,0.004
1760,201809270ram,0.004
2326,201009190det,0.008
458,201201010nor,0.003
2835,201211250crd,0.004
420,200811230atl,0.016
239,200901180pit,0.012
1633,201212300nwe,0.037
2369,201612040cin,0.016
935,201312290rai,0.041
2719,201701010sfo,0.013
1736,200709160det,0.024
763,201511050cin,0.015
2402,200912100cle,0.069
2196,201712100kan,0.017
2629,201111240rav,0.017
839,200912190nor,0.002
1378,200911290sfo,0.003
332,201812230nwe,0.031
2171,200812210sea,0.017
1531,201510040cin,0.008
1785,201011140chi,0.012
529,201309220pit,0.033
2958,201509200cle,0.025
1932,200912130atl,0.011
1570,201810140cle,0.015
514,201612110det,0.008
1781,200912280chi,0.053
522,201411270det,0.005
1144,201309220cin,0.049
157,201609260nor,0.016
