Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
81,Evan Engram,NYG,TE,16,IND,8.03,4.7,62.5,53,0.3,0,6.6,10.6,0,0.3,0,0,0,0,9.5,9.48
82,Jimmy Graham,GB,TE,8,LAR,6.02,4.1,66.7,48.8,0.4,0,8.2,12.2,0,0,0,0,0,0,9.3,9.33
83,Eric Ebron,IND,TE,4,HOU,6.16,4.5,66.7,46.5,0.4,0,7.7,11.5,0,0,0,0,0,0,9.3,9.3
84,George Kittle,SF,TE,5,ARI,6.8,4.1,57.1,53.8,0.3,0,7.7,13.5,0,0.1,0,0,0,0,9.2,9.24
85,George Kittle,SF,TE,7,LAR,7.13,4.3,57.1,52.8,0.3,0,7.6,13.2,0,0,0,0,0,0,9.2,9.23
86,George Kittle,SF,TE,6,GB,6.97,4.2,57.1,53.1,0.3,0,7.6,13.2,0,0,0,0,0,0,9.2,9.21
87,Greg Olsen,CAR,TE,11,DET,7,4,57.1,48,0.4,0,6.9,12,0,0,0,0,0,0,9.2,9.2
88,Jimmy Graham,GB,TE,10,MIA,5.73,3.9,66.7,48.4,0.4,0,8,12,0,0,0,0,0,0,9.2,9.19
88,Jared Cook,OAK,TE,14,PIT,5.8,4.3,66.7,52.4,0.3,0,8.7,13,0,0,0,0,0,0,9.2,9.19
90,Trey Burton,CHI,TE,8,NYJ,5.53,3.9,66.7,48.1,0.4,0,8,12,0.1,0.2,0,0,0,0,9.2,9.18
90,Kyle Rudolph,MIN,TE,1,SF,7.04,4,57.1,41.8,0.5,0,6,10.5,0,0,0,0,0,0,9.2,9.18
92,Jimmy Graham,GB,TE,6,SF,6.02,4.1,66.7,46.8,0.4,0,7.8,11.8,0,0,0,0,0,0,9.1,9.13
93,OJ Howard,TB,TE,9,CAR,4.55,3.4,60,50.1,0.4,0,10,16.7,0,0,0,0,0,0,9.1,9.11
94,Greg Olsen,CAR,TE,9,TB,6.82,3.9,57.1,47.5,0.4,0,6.9,12,0,0,0,0,0,0,9.1,9.1
95,Jared Cook,OAK,TE,13,KC,5.26,3.9,80,47.2,0.4,0,9.4,11.8,0,0,0,0,0,0,9.1,9.07
95,David Njoku,CLE,TE,7,TB,6.02,4.6,83.3,49.7,0.3,0,8.3,10,0,0,0,0,0,0,9.1,9.07
97,Jimmy Graham,GB,TE,4,BUF,5.88,4,66.7,46.5,0.4,0,7.7,11.5,0,0,0,0,0,0,9,9.05
98,Rob Gronkowski,NE,TE,17,NYJ,5.81,3.4,50,48.9,0.4,0,8.2,16.3,0,0,0,0,0,0,9,8.99
99,Jimmy Graham,GB,TE,9,NE,6.02,4.1,66.7,51.1,0.3,0,8.5,12.8,0,0,0,0,0,0,9,8.96
99,Austin Hooper,ATL,TE,14,GB,5.94,4.5,66.7,43.1,0.4,0,7.2,10.8,0,0,0,0,0,0,9,8.96
101,Jimmy Graham,GB,TE,1,CHI,5.73,3.9,66.7,41.8,0.5,0,7,10.5,0,0,0,0,0.1,0.1,8.9,8.93
102,Jimmy Graham,GB,TE,3,WAS,5.88,4,66.7,45,0.4,0,7.5,11.2,0,0.1,0,0,0,0,8.9,8.91
103,Trey Burton,CHI,TE,1,GB,5.53,3.9,66.7,45.3,0.4,0,7.5,11.2,0,0,0,0,0,0,8.9,8.88
104,Evan Engram,NYG,TE,3,HOU,7.52,4.4,50,48.1,0.3,0,6,12,0.1,0.3,0,0,0,0,8.8,8.84
105,George Kittle,SF,TE,3,KC,6.47,3.9,66.7,50.7,0.3,0,8.5,12.8,0,0.1,0,0,0,0,8.8,8.83
106,Greg Olsen,CAR,TE,12,SEA,6.65,3.8,57.1,45.1,0.4,0,6.4,11.2,0,0,0,0,0,0,8.8,8.81
107,Jimmy Graham,GB,TE,5,DET,6.02,4.1,66.7,43.2,0.4,0,7.2,10.8,0,0,0,0,0,0,8.8,8.77
108,Jack Doyle,IND,TE,12,MIA,6.88,4.3,57.1,41.8,0.4,0,6,10.5,0,0,0,0,0,0,8.7,8.73
109,Jared Cook,OAK,TE,3,MIA,5.67,4.2,66.7,54.1,0.2,0,9,13.5,0,0.1,0,0,0,0,8.7,8.72
110,David Njoku,CLE,TE,8,PIT,5.76,4.4,66.7,47,0.3,0,7.8,11.8,0,0,0,0,0,0,8.7,8.7
111,George Kittle,SF,TE,2,DET,6.3,3.8,66.7,49.9,0.3,0,8.3,12.5,0,0,0,0,0,0,8.7,8.69
112,Jack Doyle,IND,TE,1,CIN,6.88,4.3,57.1,43.2,0.4,0,6.1,10.8,0,0,0,0,0.1,0.1,8.7,8.67
113,Trey Burton,CHI,TE,10,DET,5.11,3.6,80,44.2,0.4,0,8.8,11,0.1,0.2,0,0,0,0,8.6,8.64
114,Kyle Rudolph,MIN,TE,9,DET,7.04,4,57.1,42.3,0.4,0,6,10.5,0,0,0,0,0,0,8.6,8.63
115,Kyle Rudolph,MIN,TE,7,NYJ,7.21,4.1,57.1,41.6,0.4,0,6,10.5,0,0,0,0,0,0,8.6,8.61
116,OJ Howard,TB,TE,11,NYG,4.28,3.2,75,45.7,0.4,0,11.5,15.3,0,0,0,0,0,0,8.6,8.57
117,Greg Olsen,CAR,TE,13,TB,6.47,3.7,66.7,43.1,0.4,0,7.2,10.8,0,0,0,0,0,0,8.6,8.56
117,Evan Engram,NYG,TE,2,DAL,7.18,4.2,57.1,46.4,0.3,0,6.6,11.5,0.1,0.2,0,0,0,0,8.6,8.56
119,OJ Howard,TB,TE,4,CHI,4.15,3.1,75,45.7,0.4,0,11.5,15.3,0,0,0,0,0,0,8.5,8.52
119,Jordan Reed,WAS,TE,10,TB,6.32,4.3,66.7,45.7,0.3,0,7.7,11.5,0,0,0,0,0,0,8.5,8.52
121,Trey Burton,CHI,TE,9,BUF,5.11,3.6,80,42.8,0.4,0,8.6,10.8,0.1,0.3,0,0,0,0,8.5,8.51
121,Austin Hooper,ATL,TE,7,NYG,5.8,4.4,66.7,45.1,0.3,0,7.5,11.2,0,0,0,0,0,0,8.5,8.51
123,OJ Howard,TB,TE,8,CIN,4.69,3.5,80,49.5,0.3,0,10,12.5,0,0,0,0,0,0,8.5,8.5
123,Jordan Reed,WAS,TE,12,DAL,6.46,4.4,66.7,45,0.3,0,7.5,11.2,0,0,0,0,0,0,8.5,8.5
125,Kyle Rudolph,MIN,TE,6,ARI,7.04,4,57.1,40.7,0.4,0,5.9,10.2,0,0,0,0,0,0,8.5,8.47
125,Jared Cook,OAK,TE,10,LAC,5.4,4,80,46.7,0.3,0,9.4,11.8,0,0,0,0,0,0,8.5,8.47
127,Jordan Reed,WAS,TE,14,NYG,6.46,4.4,66.7,44.6,0.3,0,7.5,11.2,0,0,0,0,0,0,8.5,8.46
127,Jack Doyle,IND,TE,2,WAS,7.52,4.7,62.5,45.1,0.3,0,5.6,9,0,0,0,0,0.1,0.1,8.5,8.46
129,Evan Engram,NYG,TE,1,JAX,6.84,4,57.1,46.3,0.3,0,6.6,11.5,0,0.1,0,0,0,0,8.4,8.44
130,Trey Burton,CHI,TE,11,MIN,4.97,3.5,80,42.2,0.4,0,8.4,10.5,0,0.2,0,0,0,0,8.4,8.39
130,Jared Cook,OAK,TE,12,BAL,5.26,3.9,80,46.4,0.3,0,9.2,11.5,0,0,0,0,0,0,8.4,8.39
130,Jordan Reed,WAS,TE,11,HOU,6.17,4.2,66.7,44.9,0.3,0,7.5,11.2,0,0,0,0,0,0,8.4,8.39
133,Jared Cook,OAK,TE,2,DEN,5.4,4,80,51.7,0.2,0,10.4,13,0,0,0,0,0,0,8.4,8.37
134,Jordan Reed,WAS,TE,7,DAL,6.17,4.2,66.7,44.6,0.3,0,7.5,11.2,0,0,0,0,0,0,8.4,8.36
135,Eric Ebron,IND,TE,11,TEN,4.38,3.2,75,37.1,0.5,0,9.2,12.3,0.1,0.4,0,0,0,0,8.4,8.35
135,Jordan Reed,WAS,TE,13,PHI,6.17,4.2,66.7,44.5,0.3,0,7.3,11,0,0,0,0,0,0,8.4,8.35
137,Jared Cook,OAK,TE,11,ARI,5.13,3.8,80,46.3,0.3,0,9.2,11.5,0,0,0,0,0,0,8.3,8.33
138,Kyle Rudolph,MIN,TE,3,BUF,6.68,3.8,57.1,40,0.4,0,5.7,10,0,0.1,0,0,0,0,8.3,8.31
139,Jordan Reed,WAS,TE,9,ATL,6.17,4.2,66.7,43.9,0.3,0,7.3,11,0,0,0,0,0,0,8.3,8.29
140,Jordan Reed,WAS,TE,8,NYG,5.88,4,66.7,44.6,0.3,0,7.5,11.2,0,0,0,0,0,0,8.3,8.26
141,Jack Doyle,IND,TE,10,JAX,7.04,4.4,57.1,42.5,0.3,0,6,10.5,0,0,0,0,0,0,8.2,8.25
142,Greg Olsen,CAR,TE,7,PHI,6.65,3.8,57.1,45.4,0.3,0,6.4,11.2,0,0,0,0,0,0,8.2,8.24
143,David Njoku,CLE,TE,6,LAC,5.24,4,80,44.3,0.3,0,8.8,11,0,0,0,0,0,0,8.2,8.23
144,Austin Hooper,ATL,TE,11,DAL,5.54,4.2,66.7,43.2,0.3,0,7.2,10.8,0,0,0,0,0,0,8.2,8.22
145,Eric Ebron,IND,TE,12,MIA,4.11,3,75,36.3,0.5,0,9,12,0.1,0.5,0,0,0,0,8.2,8.18
145,OJ Howard,TB,TE,3,PIT,4.15,3.1,75,42.2,0.4,0,10.5,14,0,0.1,0,0,0,0,8.2,8.18
147,Trey Burton,CHI,TE,7,NE,4.82,3.4,60,40.4,0.4,0,8,13.3,0.1,0.2,0,0,0,0,8.2,8.16
148,Kyle Rudolph,MIN,TE,8,NO,6.68,3.8,57.1,38.4,0.4,0,5.4,9.5,0,0,0,0,0,0,8.1,8.14
148,Kyle Rudolph,MIN,TE,17,CHI,6.68,3.8,57.1,38.4,0.4,0,5.4,9.5,0,0,0,0,0,0,8.1,8.14
150,Jared Cook,OAK,TE,4,CLE,5.4,4,80,49.2,0.2,0,9.8,12.2,0,0,0,0,0,0,8.1,8.12
150,Jordan Reed,WAS,TE,1,ARI,6.17,4.2,66.7,44.2,0.3,0,7.3,11,0,0,0,0,0.1,0.1,8.1,8.12
152,Evan Engram,NYG,TE,11,TB,6.84,4,57.1,42.4,0.3,0,6,10.5,0.1,0.5,0,0,0,0,8.1,8.09
153,Austin Hooper,ATL,TE,12,NO,5.54,4.2,66.7,41.7,0.3,0,7,10.5,0,0,0,0,0,0,8.1,8.07
153,Jack Doyle,IND,TE,11,TEN,6.88,4.3,57.1,41.2,0.3,0,5.9,10.2,0,0,0,0,0,0,8.1,8.07
155,Vance McDonald,PIT,TE,5,ATL,6.58,3.7,57.1,44,0.3,0,6.3,11,0,0.1,0,0,0,0,8.1,8.06
156,Cameron Brate,TB,TE,12,SF,5.11,3.5,80,38.8,0.4,0,7.8,9.8,0,0,0,0,0,0,8,8.03
157,Vance McDonald,PIT,TE,8,CLE,6.58,3.7,57.1,43.2,0.3,0,6.1,10.8,0,0.1,0,0,0,0,8,7.98
157,Evan Engram,NYG,TE,7,ATL,6.66,3.9,57.1,42.3,0.3,0,6,10.5,0,0,0,0,0,0,8,7.98
159,Chris Herndon IV,NYJ,TE,17,NE,5.65,3.6,66.7,43.6,0.3,0,7.3,11,0,0,0,0,0,0,8,7.96
160,Cameron Brate,TB,TE,13,CAR,4.96,3.4,60,38.5,0.4,0,7.6,12.7,0,0,0,0,0,0,8,7.95
