Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
106,Fred Davis,WAS,TE,6,PHI,11,6,54.5,95,0,31,8.6,15.8,0,0,0,0,0,0,12.5,12.5
109,Owen Daniels,HOU,TE,5,OAK,11,7,63.6,89,0,28,8.1,12.7,0,0,0,0,0,0,12.4,12.4
110,Greg Olsen,CAR,TE,14,ATL,6,2,33.3,53,1,44,8.8,26.5,0,0,0,0,0,0,12.3,12.3
110,Dallas Clark,IND,TE,6,CIN,7,6,85.7,53,1,17,7.6,8.8,0,0,0,0,1,1,12.3,12.3
112,Brent Celek,PHI,TE,16,DAL,5,2,40,52,1,39,10.4,26,0,0,0,0,0,0,12.2,12.2
112,Brent Celek,PHI,TE,6,WAS,9,4,44.4,42,1,21,4.7,10.5,0,0,0,0,0,0,12.2,12.2
112,Jimmy Graham,NO,TE,16,ATL,9,4,44.4,42,1,17,4.7,10.5,0,0,0,0,0,0,12.2,12.2
115,Heath Miller,PIT,TE,5,TEN,4,3,75,46,1,20,11.5,15.3,0,0,0,0,0,0,12.1,12.1
116,Benjamin Watson,CLE,TE,1,CIN,7,3,42.9,45,1,34,6.4,15,0,0,0,0,0,0,12,12
116,Jason Witten,DAL,TE,7,LAR,6,5,83.3,35,1,18,5.8,7,0,0,0,0,0,0,12,12
116,Evan Moore,CLE,TE,16,BAL,7,5,71.4,35,1,11,5,7,0,0,0,0,0,0,12,12
116,Heath Miller,PIT,TE,8,NE,9,7,77.8,85,0,19,9.4,12.1,0,0,0,0,0,0,12,12
120,Brandon Pettigrew,DET,TE,5,CHI,5,4,80,39,1,18,7.8,9.8,0,0,0,0,0,0,11.9,11.9
121,Brandon Pettigrew,DET,TE,11,CAR,5,4,80,37,1,16,7.4,9.2,0,0,0,0,0,0,11.7,11.7
121,Tony Gonzalez,ATL,TE,14,CAR,11,7,63.6,82,0,20,7.5,11.7,0,0,0,0,0,0,11.7,11.7
121,Dustin Keller,NYJ,TE,16,NYG,18,8,44.4,77,0,15,4.3,9.6,0,0,0,0,0,0,11.7,11.7
124,Tony Gonzalez,ATL,TE,9,IND,6,4,66.7,36,1,20,6,9,0,0,0,0,0,0,11.6,11.6
125,Vernon Davis,SF,TE,10,NYG,4,3,75,40,1,31,10,13.3,0,0,0,0,0,0,11.5,11.5
125,Aaron Hernandez,NE,TE,9,NYG,5,4,80,35,1,15,7,8.8,0,0,0,0,0,0,11.5,11.5
