Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
357,Jesse James,PIT,TE,6,KC,25,16,4800,5.53
359,George Kittle,SF,TE,2,SEA,4,4,4500,5.52
359,CJ Fiedorowicz,HOU,TE,11,ARI,25,22,4600,5.52
361,Coby Fleener,NO,TE,9,TB,28,10,4800,5.5
362,Trey Burton,PHI,TE,17,DAL,17,17,4800,5.48
363,Austin Hooper,ATL,TE,9,CAR,3,14,4700,5.47
363,David Njoku,CLE,TE,8,MIN,4,15,4500,5.47
363,Antonio Gates,LAC,TE,1,DEN,1,16,5400,5.47
366,Nick O'Leary,BUF,TE,8,OAK,24,18,4900,5.46
366,Jesse James,PIT,TE,11,TEN,16,6,4600,5.46
368,David Njoku,CLE,TE,11,JAX,1,16,4500,5.45
368,Austin Seferian-Jenkins,NYJ,TE,16,LAC,4,7,5400,5.45
370,Demetrius Harris,KC,TE,17,DEN,9,31,4500,5.44
371,Benjamin Watson,BAL,TE,15,CLE,25,30,4900,5.43
372,Eric Ebron,DET,TE,10,CLE,21,30,5300,5.41
373,Coby Fleener,NO,TE,8,CHI,9,9,4900,5.39
373,Ricky Seals-Jones,ARI,TE,13,LAR,9,6,5600,5.39
375,Jermaine Gresham,ARI,TE,7,LAR,20,11,4500,5.38
376,Antonio Gates,LAC,TE,6,OAK,16,12,4600,5.36
376,George Kittle,SF,TE,5,IND,30,22,4500,5.36
376,CJ Fiedorowicz,HOU,TE,13,TEN,18,10,4600,5.36
379,Stephen Anderson,HOU,TE,17,IND,30,23,4800,5.35
379,David Njoku,CLE,TE,15,BAL,5,24,4800,5.35
379,Antonio Gates,LAC,TE,5,NYG,24,32,4600,5.35
382,Austin Hooper,ATL,TE,8,NYJ,25,27,4900,5.33
382,Zach Ertz,PHI,TE,17,DAL,17,17,7100,5.33
384,Marcedes Lewis,JAX,TE,4,NYJ,27,14,4500,5.32
385,George Kittle,SF,TE,3,LAR,10,12,4500,5.31
386,Nick O'Leary,BUF,TE,7,TB,30,8,4500,5.28
386,Tyler Higbee,LAR,TE,7,ARI,26,25,4500,5.28
388,Ryan Griffin,HOU,TE,3,NE,31,28,4500,5.27
389,Marcedes Lewis,JAX,TE,13,IND,29,24,4700,5.26
389,Julius Thomas,MIA,TE,5,TEN,31,18,4800,5.26
391,Julius Thomas,MIA,TE,8,BAL,10,29,4700,5.25
392,Jermaine Gresham,ARI,TE,6,TB,28,3,4500,5.24
392,David Njoku,CLE,TE,2,BAL,8,8,4500,5.24
394,Eric Ebron,DET,TE,11,CHI,9,4,5400,5.23
395,Garrett Celek,SF,TE,15,TEN,17,18,5100,5.21
395,Eric Ebron,DET,TE,9,GB,18,1,5200,5.21
397,Tyler Kroft,CIN,TE,16,DET,17,23,5300,5.2
398,OJ Howard,TB,TE,2,CHI,20,10,5300,5.19
399,Jermaine Gresham,ARI,TE,1,DET,24,29,4600,5.18
399,Eric Ebron,DET,TE,8,PIT,1,5,5500,5.18
399,Jermaine Gresham,ARI,TE,5,PHI,21,25,4500,5.18
402,Dwayne Allen,NE,TE,14,MIA,21,29,4500,5.16
403,David Njoku,CLE,TE,3,IND,29,9,4500,5.13
404,CJ Fiedorowicz,HOU,TE,10,LAR,11,15,4600,5.12
405,Jermaine Gresham,ARI,TE,11,HOU,27,25,4500,5.11
