Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
876,Donald Brown,LAC,RB,9,MIA,4,23,5.8,0,2,1,6,0,0,0,3.4,3.4
876,Pierre Thomas,NO,RB,16,ATL,0,0,0,0,3,2,24,0,0,0,3.4,3.4
876,Jordan Todman,JAX,RB,4,LAC,1,4,4,0,2,2,20,0,0,0,3.4,3.4
876,Montee Ball,DEN,RB,3,SEA,14,38,2.7,0,3,2,6,0,1,1,3.4,3.4
885,Juwan Thompson,DEN,RB,12,MIA,5,33,6.6,0,0,0,0,0,0,0,3.3,3.3
885,Robert Turbin,SEA,RB,15,SF,5,33,6.6,0,0,0,0,0,0,0,3.3,3.3
885,Ka'Deem Carey,CHI,RB,8,NE,6,33,5.5,0,0,0,0,0,0,0,3.3,3.3
885,Joique Bell,DET,RB,3,GB,15,33,2.2,0,0,0,0,0,0,0,3.3,3.3
885,Denard Robinson,JAX,RB,3,IND,8,33,4.1,0,1,0,0,0,0,0,3.3,3.3
885,Jonas Gray,NE,RB,9,DEN,12,33,2.8,0,1,0,0,0,0,0,3.3,3.3
885,John Conner,NYJ,FB,16,NE,1,2,2,0,1,1,26,0,0,0,3.3,3.3
885,Lance Dunbar,DAL,RB,15,PHI,5,22,4.4,0,2,1,6,0,0,0,3.3,3.3
885,Bilal Powell,NYJ,RB,13,MIA,2,4,2,0,3,2,19,0,0,0,3.3,3.3
885,Alfonso Smith,SF,RB,16,LAC,2,14,7,0,2,2,9,0,0,0,3.3,3.3
885,Maurice Jones-Drew,OAK,RB,1,NYJ,9,11,1.2,0,3,2,12,0,1,0,3.3,3.3
885,Carlos Hyde,SF,RB,7,DEN,3,15,5,0,2,2,8,0,0,0,3.3,3.3
885,Pierre Thomas,NO,RB,4,DAL,2,8,4,0,2,2,15,0,0,0,3.3,3.3
885,Dexter McCluster,TEN,RB,15,NYJ,5,15,3,0,4,2,8,0,0,0,3.3,3.3
885,Jordan Todman,JAX,RB,5,PIT,0,0,0,0,2,2,23,0,0,0,3.3,3.3
900,Brandon Bolden,NE,RB,16,NYJ,5,32,6.4,0,0,0,0,0,0,0,3.2,3.2
900,Christine Michael,SEA,RB,14,PHI,6,32,5.3,0,0,0,0,0,0,0,3.2,3.2
900,Alfred Morris,WAS,RB,5,SEA,13,29,2.2,0,1,1,-2,0,1,0,3.2,3.2
900,Damien Williams,MIA,RB,17,NYJ,0,0,0,0,2,2,22,0,0,0,3.2,3.2
900,Ronnie Hillman,DEN,RB,10,OAK,6,13,2.2,0,5,2,9,0,0,0,3.2,3.2
900,Will Johnson,PIT,FB,8,IND,0,0,0,0,2,2,22,0,0,0,3.2,3.2
900,Devonta Freeman,ATL,RB,2,CIN,0,0,0,0,4,2,22,0,0,0,3.2,3.2
