,date,favorite,spread,underdog,total,awayMoneyLine,homeMoneyLine,season,week
1,"December 4, 2011 12:00 AM",at 49ers,-14.0,Rams,38.0,,,2011,13
2,"December 4, 2011 12:00 AM",Panthers,-2.0,at Buccaneers,47.0,,,2011,13
3,"December 4, 2011 12:00 AM",Jets,-3.0,at Redskins,38.0,,,2011,13
4,"December 4, 2011 12:00 AM",Cowboys,-4.5,at Cardinals,47.0,,,2011,13
5,"December 4, 2011 12:00 AM",at Bills,-1.0,Titans,42.5,,,2011,13
6,"December 4, 2011 12:00 AM",at Bears,-8.0,Chiefs,36.0,,,2011,13
7,"December 4, 2011 12:00 AM",Ravens,-7.0,at Browns,38.0,,,2011,13
8,"December 4, 2011 12:00 AM",Falcons,-2.0,at Texans,37.5,,,2011,13
9,"December 4, 2011 12:00 AM",at Dolphins,-3.0,Raiders,43.0,,,2011,13
10,"December 4, 2011 12:00 AM",Broncos,-1.0,at Vikings,37.5,,,2011,13
11,"December 4, 2011 12:00 AM",at Patriots,-20.5,Colts,48.5,,,2011,13
12,"December 4, 2011 12:00 AM",at Saints,-9.0,Lions,54.0,,,2011,13
13,"December 4, 2011 12:00 AM",Packers,-6.5,at Giants,53.5,,,2011,13
14,"December 4, 2011 12:00 AM",at Steelers,-7.0,Bengals,42.5,,,2011,13
15,"December 5, 2011 12:00 AM",Chargers,-3.0,at Jaguars,39.5,,,2011,13
0,"December 8, 2011 12:00 AM",at Steelers,-14.0,Browns,40.0,,,2011,14
1,"December 11, 2011 12:00 AM",Saints,-3.0,at Titans,48.5,,,2011,14
2,"December 11, 2011 12:00 AM",Patriots,-7.5,at Redskins,47.0,,,2011,14
3,"December 11, 2011 12:00 AM",49ers,-3.5,at Cardinals,40.0,,,2011,14
4,"December 11, 2011 12:00 AM",at Ravens,-16.5,Colts,42.0,,,2011,14
5,"December 11, 2011 12:00 AM",Falcons,-3.0,at Panthers,48.0,,,2011,14
6,"December 11, 2011 12:00 AM",at Bengals,-2.5,Texans,37.5,,,2011,14
7,"December 11, 2011 12:00 AM",at Cowboys,-4.5,Giants,50.5,,,2011,14
8,"December 11, 2011 12:00 AM",at Broncos,-3.0,Bears,36.0,,,2011,14
9,"December 11, 2011 12:00 AM",at Lions,-10.0,Vikings,47.0,,,2011,14
10,"December 11, 2011 12:00 AM",at Packers,-11.5,Raiders,50.5,,,2011,14
11,"December 11, 2011 12:00 AM",Buccaneers,-2.5,at Jaguars,42.0,,,2011,14
12,"December 11, 2011 12:00 AM",at Chargers,-7.0,Bills,48.5,,,2011,14
13,"December 11, 2011 12:00 AM",at Dolphins,-3.0,Eagles,44.5,,,2011,14
14,"December 11, 2011 12:00 AM",at Jets,-11.0,Chiefs,35.5,,,2011,14
15,"December 12, 2011 12:00 AM",at Seahawks,-9.0,Rams,38.0,,,2011,14
0,"December 15, 2011 12:00 AM",at Falcons,-12.0,Jaguars,42.5,,,2011,15
1,"December 17, 2011 12:00 AM",Cowboys,-7.0,at Buccaneers,47.0,,,2011,15
2,"December 18, 2011 12:00 AM",at Cardinals,-6.0,Browns,37.5,,,2011,15
3,"December 18, 2011 12:00 AM",at Bills,-1.0,Dolphins,42.0,,,2011,15
4,"December 18, 2011 12:00 AM",at Bears,-3.5,Seahawks,35.0,,,2011,15
5,"December 18, 2011 12:00 AM",Patriots,-7.0,at Broncos,47.5,,,2011,15
6,"December 18, 2011 12:00 AM",at Texans,-5.0,Panthers,45.0,,,2011,15
7,"December 18, 2011 12:00 AM",Titans,-7.0,at Colts,41.5,,,2011,15
8,"December 18, 2011 12:00 AM",Packers,-12.0,at Chiefs,46.0,,,2011,15
